,model,date,training_length,test_length,mae,msae,rho
14147,naive_model,256,5760,384,22.939114583333332,875.1578015625,0.4294803787263549
14148,xgboost,256,5760,960,18.28881958580017,657.5246786935061,0.7528901022032575
14149,elastic_net,256,5760,960,17.034352077589986,546.7316460971252,0.7038163708759575
14150,naive_model,256,5760,960,22.486229166666664,1076.0951104166666,0.5445106289016175
14151,xgboost,256,5760,2880,17.862927976316875,663.3313915811491,0.7620090539932816
14152,elastic_net,256,5760,2880,19.893732489498955,748.7563727741802,0.7319992140236098
14153,naive_model,256,5760,2880,24.607027777777773,1382.244682013889,0.5281950726672437
14154,xgboost,256,8640,96,5.567935279210409,50.8723168585092,0.749774962808207
14155,elastic_net,256,8640,96,18.971551593920708,458.5919530351071,0.7415491047205641
14156,naive_model,256,8640,96,15.539895833333334,361.7707927083334,0.7685702658708627
14157,xgboost,256,8640,192,5.531135625839234,48.41665005966629,0.6874152801589789
14158,elastic_net,256,8640,192,14.67166608811315,318.83573850945,0.6659257460191531
14159,naive_model,256,8640,192,12.422864583333334,247.21045260416668,0.7645270101306922
14160,xgboost,256,8640,384,10.025744374195735,209.15923154332265,0.7628986326481154
14161,elastic_net,256,8640,384,13.231155289741215,273.1910145311777,0.7218165689403325
14162,naive_model,256,8640,384,13.97203125,345.06686458333337,0.5513516864290967
14163,xgboost,256,8640,960,11.19229804066817,228.0456631017313,0.7591325047426016
14164,elastic_net,256,8640,960,13.538249684074936,307.6185085163676,0.7333906553915869
14165,naive_model,256,8640,960,18.415604166666665,633.51077875,0.5098009515165617
14166,xgboost,257,2880,96,22.80651362101237,1068.1250584934626,0.785773889838091
14167,elastic_net,257,2880,96,22.216913852248112,899.339102161414,0.64359279569278
14168,naive_model,257,2880,96,29.387083333333333,2463.4024375000004,0.7508528950955988
14169,xgboost,257,2880,192,16.522609464327495,623.1934375836972,0.7986694279273119
14170,elastic_net,257,2880,192,22.200367566228067,823.3411282298621,0.7567512808378979
14171,naive_model,257,2880,192,32.39453125,2373.591728645834,0.6700278100815577
14172,xgboost,257,2880,384,14.63221049229304,454.1188733802437,0.7652887917124636
14173,elastic_net,257,2880,384,17.549858418767144,538.9947508605313,0.676539254908963
14174,naive_model,257,2880,384,21.311276041666662,1277.1717059895834,0.7172496040093748
14175,xgboost,257,2880,960,18.925483692963915,745.1749960279495,0.7942101718288536
14176,elastic_net,257,2880,960,19.18074296760721,709.8043550828792,0.8328650715430466
14177,naive_model,257,2880,960,28.475250000000003,1752.0814229166667,0.6847701119852813
14178,xgboost,257,2880,2880,18.77195370813211,673.5167445431808,0.7655212170292683
14179,elastic_net,257,2880,2880,17.83668825146822,577.3765137629836,0.7946988530621368
14180,naive_model,257,2880,2880,23.092357638888885,1133.863725798611,0.7008539541853684
14181,xgboost,257,5760,96,10.666748498280844,163.6207419273381,0.7218278501132103
14182,elastic_net,257,5760,96,14.907842491852414,347.3899663283226,0.8127660007813539
14183,naive_model,257,5760,96,34.57364583333334,1795.4361114583337,0.4105211039291359
14184,xgboost,257,5760,192,10.256248547236124,152.8529814470862,0.7491238322505726
14185,elastic_net,257,5760,192,11.995453365290444,235.61122179300165,0.7623390044047567
14186,naive_model,257,5760,192,25.99921875,1135.5602786458333,0.2069745144366377
14187,xgboost,257,5760,384,10.672455267906187,169.49377974533195,0.6502250009355866
14188,elastic_net,257,5760,384,14.366838150278255,318.01284744109887,0.5054921742725305
14189,naive_model,257,5760,384,18.576536458333333,662.06719140625,0.3535078540799966
14190,xgboost,257,5760,960,17.105749072551724,562.9196402304813,0.7895306185813725
14191,elastic_net,257,5760,960,17.86490483124438,551.1113121221878,0.7356530654464395
14192,naive_model,257,5760,960,21.112812500000004,999.8449856250002,0.5331858171820779
14193,xgboost,257,5760,2880,17.769117724868984,643.5088587577096,0.7613392106189224
14194,elastic_net,257,5760,2880,19.6477203665936,738.930188341386,0.7305994903916128
14195,naive_model,257,5760,2880,24.14948958333333,1358.7745988541667,0.5240251843815785
14196,xgboost,257,8640,96,6.030324362119039,51.24266618626985,0.5742080994059705
14197,elastic_net,257,8640,96,10.793289936700496,195.70021929902188,0.5475367695966649
14198,naive_model,257,8640,96,9.305833333333332,132.65011249999998,0.7618159436362476
14199,xgboost,257,8640,192,6.414726259708405,62.928820597308935,0.7450290563390646
14200,elastic_net,257,8640,192,10.93212012875406,187.7011417988803,0.6160220479311653
14201,naive_model,257,8640,192,9.538229166666666,144.0622677083333,0.5069762493439427
14202,xgboost,257,8640,384,11.41118414680163,263.4017445936001,0.7519521131607626
14203,elastic_net,257,8640,384,12.476698642591163,251.88944124837417,0.745402446501014
14204,naive_model,257,8640,384,15.55296875,423.5200942708333,0.524696514321518
14205,xgboost,257,8640,960,11.431442542950316,241.01321049657895,0.7304128785849718
14206,elastic_net,257,8640,960,12.339894764590277,270.34297182026097,0.7503160642852023
14207,naive_model,257,8640,960,17.83608333333333,609.6130366666667,0.5108839392504902
14208,xgboost,258,2880,96,11.786855856577557,187.47630854571548,0.7776338169201134
14209,elastic_net,258,2880,96,22.29793694672503,755.2914503998227,0.7557389897041039
14210,naive_model,258,2880,96,35.40197916666667,2283.7810197916674,0.65762985509283
14211,xgboost,258,2880,192,10.893559090296428,187.4934429918443,0.6657500906485282
14212,elastic_net,258,2880,192,15.396284665774806,449.3361780731125,0.6613343777736227
14213,naive_model,258,2880,192,22.037291666666665,1206.5558062500002,0.5724438676033453
14214,xgboost,258,2880,384,11.12445395509402,213.50947939795935,0.7913961609292827
14215,elastic_net,258,2880,384,14.09159326765836,353.62366678044947,0.771887890437445
14216,naive_model,258,2880,384,19.895,845.4831151041668,0.6600539848389807
14217,xgboost,258,2880,960,18.22305367664496,628.6032698516977,0.7994286966499411
14218,elastic_net,258,2880,960,18.23571209645477,683.1961388855497,0.8420509707020342
14219,naive_model,258,2880,960,27.70778125,1614.7852392708332,0.6943642013491707
14220,xgboost,258,2880,2880,17.694419824828703,594.2339727254044,0.7619851260742114
14221,elastic_net,258,2880,2880,17.556656724641115,570.0203973016198,0.776311279941676
14222,naive_model,258,2880,2880,23.265243055555555,1111.5981815972225,0.6722961597486161
14223,xgboost,258,5760,96,11.052988850275677,172.80356644676908,0.6131249045940317
14224,elastic_net,258,5760,96,9.05631618301159,122.70932898699702,0.7645237538152813
14225,naive_model,258,5760,96,17.424791666666668,475.6844458333333,0.2757362416808088
14226,xgboost,258,5760,192,11.43968695004781,173.55123953853433,0.619145625216216
14227,elastic_net,258,5760,192,11.527910426659004,188.98832845238948,0.6413739403852798
14228,naive_model,258,5760,192,13.958385416666667,319.66090364583334,0.3858787405856657
14229,xgboost,258,5760,384,12.587127916018169,274.89524602570003,0.5965529500388619
14230,elastic_net,258,5760,384,14.247083148167652,334.17378625300904,0.4498720741165181
